"Elements Object type
 display name",,,Journal article,,Artefact,,Book,,Chapter,,Composition,,Conference,,Dataset,,Design,,Exhibition,,Figure,,Fileset,,Internet publication,,Media,,Other,,Patent,,Performance,,Presentation,,Poster,,Report,,Scholarly edition,,Software / Code,,Thesis / Dissertation,,Preprint,,,,,,,,,,,,,,,,,,,
number,text,,Article number [S],,[not used],,[not used],,Chapter number,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,Application number [S],,[not used],,[not used],,[not used],,Report number [S],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
"""parent-title""",text,,[not used],,[not used],,[not used],,Book title [S],Publication Name,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,Report title [S],,[not used],,[not used],,[not used],,Preprint server,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
"""name-of-conference""",text,,[not used],,[not used],,[not used],,[not used],,[not used],,Name of conference [S],Publication Name,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,Presented at [S],,[not used],,[not used],,[not used],,Presented at [S],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
"""location""",text,,Country,,Location [M] [S],,[not used],,[not used],,[not used],,Conference place [S],,[not used],,[not used],,Venue [M] [S],,[not used],,[not used],,[not used],,[not used],,Location [S],,Territory [S],Publication Name,Place of performance [S],,Presentation location,Publication Name,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
start-date,date,,[not used],,[not used],,[not used],,[not used],,[not used],,Conference start date [S],,[not used],,[not used],,Start date [S],,[not used],,[not used],,[not used],,[not used],,Start date,,Awarded date [S],,Start date [S],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
finish-date,date,,[not used],,[not used],,[not used],,[not used],,[not used],,Conference finish date [S],,[not used],,[not used],,End date [S],,[not used],,[not used],,[not used],,[not used],,Finish date,,Expiry date,,End date [S],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
"""journal""",text,,Journal [S],Publication Name,[not used],,[not used],,[not used],,[not used],,Published proceedings [S],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,Journal,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
issue,text,,Issue [S],,[not used],,[not used],,[not used],,[not used],,Issue,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,Issue,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
issn,issn,,ISSN,,[not used],,[not used],,[not used],,[not used],,ISSN,,[not used],,[not used],,[not used],,[not used],,[not used],,ISSN,,[not used],,ISSN,,[not used],,[not used],,[not used],,[not used],,ISSN [S],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
pii,text,,PII,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,PII,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
language,text,,Language,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,Language,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,Language,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
